Date : 2025-01-12 13:47:58
Directory : /Users/tianqiyin/Desktop/LeetCode/leetcode_practice
Total : 159 files,  3357 codes, 2790 comments, 1122 blanks, all 7269 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        151 |      3,290 |      2,790 |      1,113 |      7,193 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/minimum-number-of-arrows-to-burst-balloons.js                | JavaScript |         15 |         23 |          5 |         43 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/minimum-path-sum.js                                          | JavaScript |         28 |         10 |          5 |         43 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/minimum-size-subarray-sum.js                                 | JavaScript |         16 |         18 |          4 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/n-queens2.js                                                 | JavaScript |         30 |         10 |          9 |         49 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/number-of-1-bits.js                                          | JavaScript |          8 |         23 |         19 |         50 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/number-of-islands.js                                         | JavaScript |         30 |         20 |          9 |         59 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/package.json                                                 | JSON       |         11 |          0 |          1 |         12 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/palindrome-number.js                                         | JavaScript |         15 |         16 |          7 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/partition-list.js                                            | JavaScript |         19 |         18 |          4 |         41 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/path-sum.js                                                  | JavaScript |         10 |         26 |          4 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/permutations.js                                              | JavaScript |         19 |         13 |          7 |         39 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/plus-one.js                                                  | JavaScript |         11 |         22 |          5 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/popluating-next-right-pointers-in-each-node2.js              | JavaScript |         19 |         19 |         10 |         48 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/pow(x, n).js                                                 | JavaScript |         13 |         28 |          5 |         46 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/product-of-array-expect-self.js                              | JavaScript |         16 |         11 |          6 |         33 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/quick-sort.js                                                | JavaScript |         28 |          0 |          5 |         33 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/ransom-note.js                                               | JavaScript |         15 |         18 |          5 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/remove-duplicates-from-sorted-array.js                       | JavaScript |         14 |          9 |          7 |         30 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/remove-duplicates-from-sorted-array2.js                      | JavaScript |         14 |          9 |          5 |         28 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/remove-duplicates-from-sorted-list2.js                       | JavaScript |         18 |         17 |          5 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/remove-element.js                                            | JavaScript |         20 |          9 |          9 |         38 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/remove-nth-node-from-end-of-list.js                          | JavaScript |         15 |         12 |          5 |         32 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/reverse-bits.js                                              | JavaScript |         10 |         14 |          6 |         30 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/reverse-linked-list2.js                                      | JavaScript |         21 |         18 |          8 |         47 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/reverse-nodes-in-kGroup.js                                   | JavaScript |         32 |         21 |         10 |         63 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/reverse-words-in-string.js                                   | JavaScript |         18 |         18 |          4 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/roman-to-integer.js                                          | JavaScript |         18 |         28 |          4 |         50 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/rotate-array.js                                              | JavaScript |         17 |         11 |          6 |         34 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/rotate-list.js                                               | JavaScript |         24 |         12 |          5 |         41 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/same-tree.js                                                 | JavaScript |          9 |         19 |          2 |         30 |
