"filename", "language", "XML", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/trap-rain-water.js", "JavaScript", 0, 27, 0, 0, 33, 4, 64
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/triangle.js", "JavaScript", 0, 10, 0, 0, 16, 5, 31
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/two-sum.js", "JavaScript", 0, 14, 0, 0, 15, 9, 38
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/two-sum2-input-array-is-sorted.js", "JavaScript", 0, 16, 0, 0, 20, 3, 39
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/unique-paths2.js", "JavaScript", 0, 22, 0, 0, 16, 6, 44
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-anagram.js", "JavaScript", 0, 18, 0, 0, 16, 6, 40
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-palindrome.js", "JavaScript", 0, 24, 0, 0, 20, 5, 49
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-parentheses.js", "JavaScript", 0, 25, 0, 0, 27, 4, 56
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/valid-sudoku.js", "JavaScript", 0, 31, 0, 0, 29, 8, 68
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/validate-binary-search-tree.js", "JavaScript", 0, 16, 0, 0, 17, 7, 40
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-break.js", "JavaScript", 0, 14, 0, 0, 17, 7, 38
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-ladder.js", "JavaScript", 0, 21, 0, 0, 14, 10, 45
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-pattern.js", "JavaScript", 0, 29, 0, 0, 30, 7, 66
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-search.js", "JavaScript", 0, 33, 0, 0, 11, 7, 51
"/Users/tianqiyin/Desktop/LeetCode/leetcode_practice/word-search2.js", "JavaScript", 0, 70, 0, 0, 9, 17, 96
"Total", "-", 35, 3229, 22, 10, 2742, 1103, 7141
